PERLU,-10.22696,-11.63853
ISI,-10.86961,-11.3344
ISH,-10.33634,-10.76955
NUNGGUIN,-10.93059,-11.20925
MSIH,-10.98188,-11.45206
PENDING,-11.33674,-10.30561
TENSO,-12.4743,-11.76957
ISA,-10.77741,-11.18473
SECURITY,-11.36781,-11.91834
BANANA,-10.18608,-11.79958
WALAUPUN,-10.43498,-11.67861
ATTEND,-11.01852,-11.26868
MEMBUAT,-10.48104,-11.6581
FOKUS,-11.18441,-12.73037
LIHAT,-10.97451,-12.2602
IRE,-10.33212,-10.99276
JAZZ,-9.56251,-10.44726
GALAU,-9.39832,-9.06911
SEDIH,-9.75858,-8.65217
IPS,-11.06266,-12.46684
SINGLE,-8.80783,-10.12238
CONTACT,-10.14397,-10.82432
NEITHER,-10.66469,-10.75963
MUSCLE,-12.07629,-11.67771
SURVIVE,-11.12402,-11.73074
NOISE,-11.23004,-11.78464
ONES,-8.90916,-9.86076
1ST,-8.83055,-10.21797
DOCTOR,-10.26321,-10.28857
RELATED,-10.81276,-11.88379
GAUL,-11.27925,-12.18786
HACIA,-11.08241,-12.09957
MIJN,-9.32305,-9.8662
HASNT,-12.07702,-11.44212
FIXING,-11.41151,-12.30872
MARKS,-11.43661,-11.8828
!!!...,-10.93839,-11.82044
FELL,-9.74513,-9.44579
OJOS,-11.1888,-11.33369
RUSTIG,-11.30259,-12.80054
SPURS,-10.55055,-11.76438
MIKE,-10.06005,-11.31713
BIKIN,-8.92148,-9.23797
USED,-8.67179,-9.27374
ERIN,-11.13356,-12.80741
BSA,-9.64078,-9.63043
SCOTLAND,-11.12014,-11.82154
KECEWA,-11.54378,-10.67405
BSK,-8.82038,-9.35716
BRU,-9.48086,-10.07916
MUMPUNG,-11.46798,-12.7798
SWIMMING,-10.28381,-11.46055
SLAAP,-11.19178,-12.24501
BRP,-9.28971,-10.3174
ERIC,-10.89634,-12.05965
ANSWERED,-11.10643,-12.08053
AMBER,-11.07552,-12.49861
MENDADAK,-11.94296,-11.05726
8PM,-11.43744,-12.4336
MESTI,-10.6704,-10.58911
ROTI,-11.07396,-12.09902
GARY,-11.59138,-12.69876
BUU,-11.58608,-11.33202
MANDEI,-11.2604,-12.28238
ENTIENDO,-11.19449,-10.94818
BUS,-9.07696,-9.42107
BUY,-8.25088,-9.07245
MESSY,-11.31055,-11.95856
ACCORDING,-11.07818,-12.076
DEIXA,-11.21922,-11.02076
NICKI,-10.7146,-12.01456
BUD,-10.47263,-11.88316
WAYS,-10.1525,-11.6188
BUG,-10.60306,-10.97139
BUH,-11.1059,-11.39261
USES,-11.58151,-12.63691
ROSA,-11.37929,-12.47574
BUM,-10.86964,-11.32365
BUN,-10.79182,-11.63454
CHRIST,-11.39031,-12.90097
ROSE,-10.34221,-11.85651
USER,-10.74096,-12.10027
JEITO,-11.6099,-11.67788
NONGOL,-11.50453,-12.21308
BTW,-7.91595,-9.66392
DIBALES,-11.15455,-10.78207
MICKEY,-11.45108,-12.25872
GARA,-11.36618,-10.15214
ROSS,-11.60072,-12.33473
CONTINUES,-11.51124,-12.50715
TEMENIN,-11.16118,-11.17706
WHATS,-8.97962,-9.82326
KONDANGAN,-11.69421,-12.059
CHUCK,-10.53379,-11.43761
UPDATING,-11.03884,-12.03792
BWT,-9.4772,-10.79256
NOMBRE,-10.75188,-11.76823
HIGHER,-10.98551,-12.5315
WAITED,-11.4473,-11.36889
TAYO,-10.51647,-11.89904
TACOS,-10.41384,-11.92231
GRIPE,-12.15085,-10.40906
TXT,-9.6559,-10.45806
HHEHE,-10.76121,-12.47556
BWA,-11.47085,-12.05525
HITTIN,-11.32556,-13.12963
SEJAK,-11.06288,-12.03574
MACBOOK,-10.70994,-11.0719
DMNA,-10.37995,-11.49438
2DAY,-9.66753,-10.33779
TOILET,-11.31012,-11.20242
GUTTED,-11.37088,-9.71423
GAPERNAH,-11.04816,-12.69013
DIANA,-11.36946,-12.51803
COCOK,-10.72946,-12.21397
SELESAI,-9.3277,-10.76754
8TH,-10.88247,-12.21854
BUDDIES,-10.89385,-12.29088
RIGHT,-6.71856,-7.54179
BLIJVEN,-11.729,-12.34231
TWO,-7.83036,-8.73906
PADANG,-10.94442,-11.98289
BISAAA,-11.45752,-11.92344
HASIL,-10.62561,-11.99815
GANO,-11.15099,-11.69902
MICH,-10.6718,-11.8525
USAH,-9.98731,-10.74252
DONGGG,-11.42311,-11.79301
SPIN,-11.30013,-12.69487
PESSOAL,-10.46155,-12.02879
GANG,-10.72274,-11.75735
BYK,-10.09986,-10.6821
LEARNED,-10.08082,-11.56078
TAXI,-11.07726,-11.56776
MANTAN,-10.49287,-11.15367
KUYT,-10.50419,-12.22356
EFFORT,-10.73431,-11.75485
BYE,-8.18191,-9.09624
VIDEOS,-9.1871,-10.48237
APAA,-10.84846,-11.79255
GANA,-11.2732,-12.27016
RELIGION,-11.51947,-12.50422
FELT,-9.32312,-9.86068
APA2,-10.91372,-11.38422
MISTER,-11.01471,-12.60466
MANTAP,-10.31254,-12.5982
CANAL,-11.26294,-11.76356
FEST,-10.79168,-11.5521
NUEVA,-10.38003,-11.92961
JIAH,-11.48737,-12.02417
HERMANO,-10.58596,-11.3173
ERRR,-11.65205,-11.89833
MARCO,-11.26676,-12.58269
MAUNYA,-10.95072,-11.04802
NIGHTTT,-10.95524,-13.37718
CELEBRITY,-10.39094,-12.06685
UGH,-9.57309,-8.05299
BATUK,-11.50526,-10.54647
MARCH,-8.56125,-10.03636
NUEVO,-9.43167,-10.40789
DAQUI,-9.70352,-10.83474
WARNA,-10.88509,-11.43262
LAATSTE,-11.00231,-11.02632
NANGIS,-10.176,-9.4125
UFF,-11.15318,-11.83485
WAITIN,-10.72019,-11.85533
GRILL,-11.07369,-12.86927
ROLA,-11.57531,-12.17009
SWEETS,-10.73256,-11.9974
DEJAR,-11.28727,-11.25418
DEMASIADO,-10.66931,-10.67976
ROLE,-10.20584,-11.55112
FIGURE,-9.81271,-10.58331
SWEETY,-10.82371,-12.76584
FLORIDA,-9.81547,-10.99333
ROLL,-9.47404,-10.80861
DRIVER,-10.71149,-11.5938
ICON,-9.58382,-11.93395
MARET,-9.97128,-11.33903
COUNTING,-10.52943,-11.70768
NATIONAL,-10.6382,-12.12106
SEMANA,-8.82279,-9.5471
UDA,-8.50391,-9.28534
INSTALLED,-11.55416,-12.35138
BUBBLE,-10.47866,-11.80152
GRIND,-10.95492,-12.34993
CKCK,-10.47278,-10.60634
UDH,-7.80127,-8.54803
HERMANA,-10.74987,-11.24298
MARDI,-10.1047,-11.25691
CAM,-10.55959,-11.2916
WASH,-10.25907,-11.07716
ZITTEN,-11.19593,-12.1324
BEASTLY,-9.69033,-11.81752
CAB,-11.21977,-11.78215
SUAMI,-11.32563,-12.18217
SEGURO,-10.46303,-11.39996
TREY,-10.88251,-12.44398
9:30,-11.60166,-12.12554
CAE,-11.34409,-11.92607
GAYA,-10.8631,-11.57065
BEZIG,-11.20088,-12.41998
WARS,-10.68232,-12.03292
NICER,-11.24414,-12.59473
ISNT,-10.34081,-10.03047
WEATHER,-8.43403,-8.96198
TRES,-10.91258,-11.81832
GOMEZ,-11.08643,-12.2537
CAT,-9.46754,-9.85127
CERTO,-10.78055,-11.84329
TREK,-10.63497,-11.37231
CAP,-10.82856,-11.81124
VODKA,-10.46322,-11.67305
TRISTE,-11.2104,-8.71986
TREE,-10.47682,-11.50073
UAS,-9.66549,-10.87452
KAKAK,-8.6179,-10.05333
CORAZON,-10.49648,-11.19705
EXACT,-10.83121,-12.08047
TOUCHED,-11.19927,-12.40083
NORMAL,-9.26177,-10.08969
AUNQUE,-10.241,-10.78987
SPOT,-9.80304,-11.17965
T_T,-10.87519,-10.15996
NATURE,-10.97841,-11.92093
UURTJE,-11.3827,-12.75153
COLOCAR,-11.54488,-12.27986
UDAHAN,-11.72511,-11.74577
MARIO,-10.41704,-11.94447
WATS,-10.37911,-11.35294
ROOT,-11.74134,-12.29243
